 (-6.25621189623151372E-003,-3.58255148430404874E-002)            (-0.14525831309281356,0.22759821292010260)       (1.99183960929417841E-002,-0.12386421346172077)      (-3.50925877000789893E-002,-0.16186259562343847)
 (-1.46425905038064007E-003,-5.78029093635942029E-002)       (-3.99794198386421631E-003,0.30188323917786569)       (2.75528254098849068E-002,-0.12929236581237410) (-3.80203741504925238E-002,-7.51986652106586273E-002)
 (-5.14983919074400633E-003,-4.44202207802344151E-002)            (-0.15154653491344150,0.20526147503506348)       (6.87714684578458885E-002,-0.15181455501062374)  (6.10898730657200278E-003,-7.03873675011684741E-002)
 (-1.47218815882285380E-002,-5.30532518968226743E-002)   (8.98958659803176900E-003,8.48756359024827323E-002)       (2.74314795898021255E-002,-0.12750566417005280)      (-4.13099631104518542E-002,-0.12768835477955728)
 (-2.51608636315824655E-002,-6.35891462981332117E-002) (-1.06197308891785346E-003,-5.46708890180870946E-002)       (0.23171490492522956,-7.55055410823716744E-002)      (-5.20963246355151816E-002,-0.17142700118621812)
      (-2.10703193828399270E-002,-0.11224887920165844)  (2.12336581842846976E-002,-3.28217640219515619E-002)        (0.19552394736387071,4.77100977375527757E-002)           (-0.14795444450581088,-0.20564215446793502)
      (-3.12751078221600101E-002,-0.13586859741258997)  (2.46433169968866342E-002,-3.64662199933949924E-002)            (-0.17536837139197811,0.21141277807329167)      (-3.51831744693845636E-002,-0.26025305851523639)
      (-4.39255943948278077E-002,-0.12180013542669534)  (8.09750143850446365E-003,-4.36186271969257952E-002)        (2.65027216014610441E-002,0.30411944824160070)           (-0.20174666066600500,-0.21923138569896439)
  (2.13388959758299308E-002,-7.88688608266084751E-002)  (5.51735293105347011E-003,-9.99806213112364867E-003)       (-5.37521748631070370E-002,0.14301790716752935)      (-7.96808258664708814E-003,-0.31255186136342750)
 (-1.33225499581124157E-003,-5.75693252517583062E-002)  (-8.27288387938081293E-003,3.59597078452830593E-002)       (-1.98512297047741780E-002,0.11317345543586838)  (6.70207942668238268E-003,-3.02539911397188424E-003)
 (-3.50079837941346048E-002,-4.67569575648431879E-002)  (-1.34946203545132735E-002,6.33617747424189692E-002)  (-3.39990064875848944E-002,6.70196285100110450E-002)        (0.11050485106201342,5.23553946071025206E-002)
       (1.25672166741267466E-002,-0.24078095878170858)  (-1.81261433235485568E-002,5.89607019387754366E-002)  (-1.86089777951481995E-002,6.58645602762860938E-002)   (7.01916918348430147E-002,5.71009955733862637E-002)
      (-8.61955354362213544E-002,-0.24312057760808181)  (-1.77138721446809672E-002,4.72261957107346503E-002)  (-1.81335304675055396E-002,4.44926920832131242E-002)   (5.23809281334750507E-002,5.49881425963154175E-002)
       (0.11377336229386127,-2.69576227857104382E-002)  (-4.04945568992745846E-003,4.80089840349826255E-002)  (-1.11949027202246244E-002,4.25420399064026233E-002)   (5.96414410398437497E-002,3.60851382717156458E-002)
  (-1.53621281871450504E-002,5.73754628268064726E-002)  (-2.17085144888796433E-002,7.04894886016539657E-002)  (-1.11070202462286039E-002,2.03466281790837360E-002)   (3.07626588785504390E-002,9.94350356855923032E-003)
 (-8.60147592006968269E-003,-4.24890988228439972E-002)       (-2.17622255481689439E-002,0.15672918177194953)  (-1.15720127167014356E-002,1.11634135495240362E-002)  (1.30284120012496927E-002,-2.44442979778198219E-002)
 (-7.50076299987991520E-003,-5.36125801165934571E-002)       (-8.08454643446658433E-002,0.15555459711720457) (-6.72542114755332772E-003,-9.98634494641017535E-003) (-1.02350675129893841E-003,-4.94538637503109529E-002)
 (-1.55253417950516615E-002,-5.06755839932899813E-002)  (-2.06692771368254466E-002,8.21108460786443423E-002) (-9.81667644499116011E-003,-1.27065755990228811E-002) (-3.18438484153112274E-003,-5.37341552960419258E-002)
  (2.23979881766711020E-002,-1.29990850011741498E-002)  (-5.56901560419714586E-002,3.05725572137274318E-002) (-1.83642025468382791E-003,-3.53365225624988760E-002) (-5.30430890201853342E-003,-4.78077760185784753E-002)
   (1.39943094430237634E-002,9.12830625132476817E-004)       (-5.95347042562650933E-002,0.11107557288968521) (-1.03482514458659684E-002,-3.78924031010079918E-002) (-1.39063561872236723E-002,-4.05830777541610135E-002)
   (1.11090216735737438E-002,1.45270343689613782E-002)       (-9.20150502029134509E-002,0.13306529159111782)  (1.81486098792572924E-003,-8.34873498665203440E-002) (-2.37899769546943349E-002,-6.71822587300112128E-002)
  (2.97139664625811198E-003,-1.20381921151222118E-002)       (-2.84621671565998781E-003,0.24651693069038552)  (3.73002417883752614E-003,-9.80575676657773898E-002)      (-7.28036055299783325E-002,-0.12647698597932000)
