  (-3.13883277151201859E-002,8.23183817630745857E-002)        (9.36818701361768619E-002,0.15976735928829733)      (-0.11678621165740749,-2.75366102448996002E-002)  (7.99959673744149169E-002,-5.25219873663863857E-003)
 (-5.58932058844836752E-002,-2.78093308990857262E-002)  (4.66179874671809394E-002,-7.03134295469776266E-002)            (-0.11294404812152019,0.10119012162339422)   (2.78555587215109299E-002,6.68024293240702949E-002)
   (3.62391955386648090E-002,4.87531797316277937E-002)       (-7.34962205394715656E-002,0.17842133459882276)  (-1.58498563504654126E-002,6.65397677980111759E-003)  (6.57210484721476168E-002,-3.95787678662432169E-002)
       (5.17716288400847796E-002,-0.10873127379699372)           (-0.11365418234582977,-0.19042028059299718)   (8.12115653686151795E-002,5.78518602536929466E-002)   (4.96910856301812434E-002,2.80971670243573210E-002)
   (9.43130221462004648E-002,6.78813121552993975E-002)            (-0.14185531706659393,0.16053906616856500)      (-6.06779090511308031E-002,-0.10303489038368213)   (1.97333039586928896E-002,2.77184854247414687E-002)
  (9.08193916343644492E-002,-7.82679818293834650E-002)       (-0.11081392075832243,1.52746917370975149E-003)   (3.12684984046703446E-002,2.21678788893325956E-002)  (2.98732556693853055E-002,-7.08073353582687748E-002)
 (-5.76533503907035016E-003,-2.80353151102747319E-002) (-6.76596122553176915E-002,-9.70275923723011025E-002)  (-6.72210277557264008E-002,4.51299522871800654E-002)             (0.12145677256944369,0.14785676506955814)
  (-4.28554560081673072E-002,8.25471539131931195E-004)        (1.56029425118512019E-002,0.12008835599304847) (-5.89762453878413737E-002,-6.11885911088692128E-002)       (0.18882697888115546,-3.54465272078039115E-002)
        (0.12539043703118000,8.13195524118363357E-003)  (7.77781638448979407E-002,-7.58428866137415836E-002)   (5.80096420677916128E-002,8.35598261812551674E-002)       (0.15196717637382426,-9.57367389905459422E-003)
       (0.12710010273570166,-7.86651055926774687E-003)   (6.91612640200161138E-002,2.00915239731415639E-002) (-7.51637250648711508E-002,-2.11572366325746865E-002)        (4.95181511652593651E-002,0.15859595509854971)
  (4.64715464289258955E-003,-1.45856076631885878E-002)  (-1.01447303230572557E-002,6.87095881391347890E-002)  (-6.32716297926930599E-002,8.15223905380356439E-002)       (1.19971400140927841E-002,-0.12723163596821419)
   (4.12383309633938266E-002,2.45608506670826378E-002) (-8.91314683313730594E-002,-7.71047705121071791E-002)  (-3.59581975836752513E-002,8.24864187114953545E-002)  (-1.92911558376627455E-002,9.03281625364543150E-002)
  (3.94165046689749707E-002,-1.60163781412779316E-002)  (-4.56171227916836869E-002,9.55674338418495417E-002) (-6.92565167988684754E-002,-4.34753608135072939E-002) (-5.31794521605554529E-002,-9.94009520526804996E-002)
  (7.67644039432738151E-002,-5.26266975031408693E-002)  (-3.10595795882761434E-002,5.74504037980254484E-002)   (1.72907715446590539E-002,9.44359636089423249E-002)       (-0.10548660408916791,1.52880134177573544E-002)
   (4.57410110560557345E-002,4.93449820741580156E-002)       (9.11218292250999713E-003,-0.11845947312315733) (-3.09659482147498291E-002,-8.24308966492946771E-002)      (-7.72902896928525929E-002,-0.12174280203877622)
  (6.37662398392521840E-002,-3.28701047501882976E-002)        (9.28234554372855264E-002,0.14347363623776085)   (1.28586816527852098E-002,5.76327826343128180E-002)  (-6.79747796387117909E-002,8.98010314547394578E-002)
  (9.35495828860341411E-002,-4.52596758002412683E-002)      (-2.80509564120159614E-002,-0.14222514807795383)           (-0.14066720548936784,-0.11550324851769980)  (5.42268989530194333E-003,-5.50095586403194781E-002)
   (9.07039993921399113E-002,5.89304191022613014E-002)       (-6.15670259974858761E-003,0.10893130849785615)            (-0.13465244897811032,0.15227942723137486)       (-4.94764609396529942E-002,0.10892506148688441)
       (0.12698214189241666,-9.29957900502925844E-002)        (5.18278431928545433E-002,0.10354506313461584)      (-0.14841264861226086,-3.94830333244274925E-002)  (-1.47459765844247734E-002,5.11457894556720111E-002)
   (4.39172375869872969E-002,1.68893595579087570E-002)       (2.10491373322495394E-002,-0.15635146706698080)       (-0.15845783494186449,8.49579581199026851E-002)  (8.52812790587284819E-002,-1.97236483064733709E-002)
